english_sentence,japanese_sentence
Where does this bus go?,このバスはどこへ行きますか？
When's the express train coming?,急行はいつきますか？
Where to?,どこまでいきますか？
where do you wanna go?,どこに行きたい？
Whenever you wanna go.,君の行きたいところへ
I ran out of gas.,ガス欠だ
You have no sense of direction at all.,もう、方向音痴なんだから。
Any plans for winter vacation?,冬休みの予定は？
I haven't decided yet.,まだ決まってないよ
It's a walkable distance from here.,ここから歩いて行ける距離です。
What should we have?,何を食べようか？
What do you feel like having?,何を食べたい？
Are you a picky eater?,好き嫌いとかある？
I'd like to make a reservation for tomorrow.,明日の予約をしたいのですが？
How many in your party?,何名様ですか？
"Could I get a menu, please?",メニューをください
"Could we order,please?",注文をお願いします
What kind of food is that?,それはどんな料理ですか？
"Alright then,I'll have that,please",じゃあ、それをひとつ
"With French fries,please",フライドポテトもお願いします
Would you care for some soup?,スープはよろしいですか？
I wonder where our food is.,料理はまだかな
It smells really good.,とってもいい匂いだね
"I'll have another beer,please.",ビールをもう１杯
I'm full,おなかがいっぱい
I'ｍ drunk,酔っぱらう
"Could I get the check,please?",お会計をお願いします
Can I ask you a favor?,ちょっとお願いがあります
Do you have a minute?,ちょっといい？
what should we have done?,何をしたらいいのか
what does this do,これはなにをするものか？
There is little crime of any type,犯罪はとても少ない
Could you say that again?,もう一度言ってもらえますか
I’m happy to hear that.,それを聞けてうれしいです。
Are you done with your homework?,宿題終わった？
I’m doing well.,元気にやってます。
I’m here on business.,仕事で来ました
I can’t find my baggage,私の荷物が見つかりません。
Could you keep my baggage?,荷物を預かってもらえますか？
How much is it per night?,1泊いくらですか？
Are there any restaurants around here?,この辺りにレストランはありますか？
How long is the wait?,待ち時間はどのぐらいですか？
Can I get the bill?,お会計お願いします。
I think there are regional differences.,地域差もあると思います。
"most people here say ""bill""","ほとんどの人が ""bill ""と言う"
"When I'm in the US,I hear ""check"" more","アメリカにいると、""check ""という言葉をよく耳にします。"
They mean the same thing.,同じことを意味する
"As she says, Americans use ""check"", Canadians use ""bill""","彼女が言うように、アメリカ人は ""check""、カナダ人は ""bill ""を使う。"
"""Do"" is used for an action and ""make"" is used for creating something","""Do ""は行動、""make ""は何かを作るときに使います。"
there are some exceptions but these are the base cases,一部例外もありますが、基本的なケースです。
What do you want to drink?,何飲む？
Aren't you cold?,寒くない？
I'm freezing.,超寒い
Did I make you wait?,待った？
Are you having a good time?,楽しんでますか？
Are you feeling OK?,気分悪くない？
Shall we take a break?,一休みしない？
take care of youself,お大事にしてください
I'll take you to someone who knows more,もっと詳しい人を紹介する
How much is it going to cost.,いくらかかるんだ。
Can you get me a coffee?,私にコーヒーを買ってきてくれる？
while you’re at it,ついでに
How far is the main road,大通りまでどれくらいありますか
When is the deadline?,締め切りはいつですか？
Do you know where that hotel is?,ホテルの場所はわかりますか？
Do you stop here?,（バスの運転手などに）ここには行きますか？
What kinds of video games do you like? ,どんなゲームが好き？
I want to learn from you,あなたから学びたい
I hate waiting for people who are late,遅刻した人を待つの大嫌い
It's such a waste of time.,時間の無駄
San Francisco is known as a very liberal city.,サンフランシスコはとても自由な街として知られている。
I gave my girlfriend a lift to the airport.,私は彼女を車で空港まで送った。
Death is a certainty for all of us.,死は、私たちみんなにとって確実なことだ。
I'll have the report ready by five.,５時までに報告書を準備しておきます。
The pizza at this restaurant is as good as in Italy.,このレストランのピザはイタリアのと同じくらい美味しい。
I keep a diary to remind myself of my appointments.,私は約束を思い出せるように、スケジュール帳をつけている。
